lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-2.5,6.5,-0.5,4,0.8014,0.0056419507264775,0.0628,0.0034309229079068507
-3.5,5.5,-0.4,4,1.0,0.0,0.959,0.0028042467794400705
-3.4,5.5,-0.4,4,1.0,0.0,0.9338,0.003516178607522662
-3.3,5.5,-0.4,4,1.0,0.0,0.8832,0.004542196825325825
-3.2,5.5,-0.4,4,0.9998,0.00019997999899988897,0.838,0.005210681337406846
-3.1,5.5,-0.4,4,1.0,0.0,0.7596,0.006043307703567641
-3.0,5.5,-0.4,4,0.9992,0.0003998399679871993,0.6612,0.00669349774034473
-2.9,5.5,-0.4,4,0.998,0.0006318227599572528,0.5516,0.007033312732987209
-2.8,5.5,-0.4,4,0.9946,0.001036420763975709,0.4502,0.007035907333102107
-2.7,5.5,-0.4,4,0.991,0.0013355897573731246,0.3394,0.006696381709550316
-2.6,5.5,-0.4,4,0.9822,0.0018699283408729886,0.2442,0.006075629350116744
-2.5,5.5,-0.4,4,0.959,0.0028042467794400705,0.1692,0.00530228931688945
-3.5,5.6,-0.4,4,1.0,0.0,0.9562,0.0028941858958954226
-3.4,5.6,-0.4,4,1.0,0.0,0.9112,0.0040227990255542224
-3.3,5.6,-0.4,4,1.0,0.0,0.8644,0.0048417484445187784
-3.2,5.6,-0.4,4,1.0,0.0,0.806,0.0055922088659133605
-3.1,5.6,-0.4,4,0.9996,0.0002827861382741226,0.7006,0.006477030801223659
-3.0,5.6,-0.4,4,0.9986,0.000528779727296718,0.6264,0.006841389332584428
-2.9,5.6,-0.4,4,0.9976,0.0006919884392097831,0.4912,0.007069972560059904
-2.8,5.6,-0.4,4,0.9922,0.0012441189653726872,0.3948,0.006912784677682359
-2.7,5.6,-0.4,4,0.9834,0.0018069001079196354,0.2958,0.006454492389026421
-2.6,5.6,-0.4,4,0.9652,0.0025918703671287285,0.2106,0.0057662403695995885
-2.5,5.6,-0.4,4,0.9474,0.0031569998416217885,0.1468,0.005004992707287395
-3.5,5.7,-0.4,4,1.0,0.0,0.9352,0.003481406612276135
-3.4,5.7,-0.4,4,0.9998,0.00019997999899988897,0.8892,0.004438994480735474
-3.3,5.7,-0.4,4,0.9998,0.00019997999899988897,0.8356,0.005241615018293503
-3.2,5.7,-0.4,4,0.9998,0.00019997999899988897,0.7606,0.0060346936956236635
