lbr_σ,rbr_σ,th_σ,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
0.0,0.8,0.2,4,0.6746,0.006625931481686179,0.0494,0.003064625262572897
0.2,0.8,0.2,4,0.6622,0.006688664440678722,0.0466,0.002980887116279313
0.4,0.8,0.2,4,0.6174,0.006873386938038626,0.0522,0.003145636978419474
0.6,0.8,0.2,4,0.575,0.006991065727054781,0.0444,0.002913027291324268
0.8,0.8,0.2,4,0.525,0.007062223445912767,0.0518,0.003134222710657301
1.0,0.8,0.2,4,0.4428,0.007024644617345421,0.0456,0.0029502759192997527
0.0,1.0,0.2,4,0.6308,0.006824827616870627,0.048,0.0030231109804305894
0.2,1.0,0.2,4,0.606,0.00691034007846213,0.0492,0.0030587369942510585
0.4,1.0,0.2,4,0.5976,0.006935044916941779,0.056,0.003251584229264252
0.6,1.0,0.2,4,0.549,0.007037030623778754,0.0482,0.0030290843500965763
0.8,1.0,0.2,4,0.4994,0.0070710627206948175,0.0504,0.0030938597253269257
1.0,1.0,0.2,4,0.4154,0.006969115295358515,0.0456,0.0029502759192997527
0.0,0.0,0.4,4,0.647,0.006758564936434361,0.053,0.003168311853337673
0.2,0.0,0.4,4,0.6582,0.006707797850263528,0.048,0.0030231109804305894
0.4,0.0,0.4,4,0.6174,0.006873386938038626,0.0488,0.00304691844328003
0.6,0.0,0.4,4,0.5694,0.00700262293715719,0.0508,0.0031054584202658392
0.8,0.0,0.4,4,0.5134,0.00706852799386124,0.0552,0.0032296427046966045
1.0,0.0,0.4,4,0.4664,0.007055083840749166,0.047,0.002993025225419926
0.0,0.2,0.4,4,0.654,0.006727317444568823,0.0522,0.003145636978419474
0.2,0.2,0.4,4,0.6398,0.006789049417996602,0.053,0.003168311853337673
0.4,0.2,0.4,4,0.6116,0.006892683657328254,0.0478,0.003017123133052412
0.6,0.2,0.4,4,0.5702,0.007001027924526512,0.0468,0.0029869636757081596
0.8,0.2,0.4,4,0.5068,0.007070413849273605,0.0464,0.0029747954551531774
1.0,0.2,0.4,4,0.4396,0.007019285433717595,0.0484,0.0030350433275325743
0.0,0.4,0.4,4,0.65,0.00674536878161602,0.0502,0.003088040155179333
0.2,0.4,0.4,4,0.629,0.0068316762218360435,0.0478,0.003017123133052412
0.4,0.4,0.4,4,0.608,0.006904143683325254,0.0462,0.002968688599365046
0.6,0.4,0.4,4,0.58,0.006979971346646059,0.0548,0.003218600938296017
0.8,0.4,0.4,4,0.513,0.007068677386894949,0.0492,0.0030587369942510585
1.0,0.4,0.4,4,0.4568,0.007044625753012008,0.0506,0.0030996657884359083
0.0,0.6,0.4,4,0.6238,0.006850891328871011,0.0514,0.0031227564746550444
0.2,0.6,0.4,4,0.627,0.006839166615896998,0.0508,0.0031054584202658392
0.4,0.6,0.4,4,0.5832,0.006972485353157796,0.0508,0.0031054584202658392
0.6,0.6,0.4,4,0.5498,0.007035907333102107,0.0548,0.003218600938296017
0.8,0.6,0.4,4,0.492,0.007070162657251953,0.0502,0.003088040155179333
1.0,0.6,0.4,4,0.436,0.007012902394871898,0.0516,0.0031284961243383375
0.0,0.8,0.4,4,0.6012,0.006924717467160664,0.0564,0.0032624849424939878
0.2,0.8,0.4,4,0.5936,0.006946064209320268,0.0532,0.003173948959892077
0.4,0.8,0.4,4,0.5702,0.007001027924526512,0.052,0.003139936305086458
0.6,0.8,0.4,4,0.515,0.007067885115082163,0.054,0.003196372944448129
0.8,0.8,0.4,4,0.4794,0.007065063906292709,0.0524,0.003151324800778238
1.0,0.8,0.4,4,0.4274,0.006996130930735931,0.0496,0.0030704996336101396
